工作名称,工作地点,工作公司,工作薪资,工作学历,工作标签,工作经验,招聘详情页链接
存储系统开发工程师 python,上海·闵行区·合川路,天玑科技,25-35K,本科,数据服务,经验不限,https://www.zhipin.com/gongsi/107b34adb47e615b1nJ72Ni1.html
安全分析工程师,上海·黄浦区·打浦桥,恒安嘉新,14-28K·13薪,硕士,互联网,经验不限,https://www.zhipin.com/gongsi/f367cdf3fe9555ce1X150tq7.html
Python 爬虫开发工程师,上海·嘉定区·江桥,司顺电子商务,18-25K·13薪,大专,电子商务,1-3年,https://www.zhipin.com/gongsi/95ebb107ea960c241nZ-0tW8.html
Python开发,上海·闵行区·吴泾,中电文思海辉,12-22K,不限,计算机软件,经验不限学历,https://www.zhipin.com/gongsi/0422baabbc48d3d81nd_3dq8GVs~.html
Python高级软件开发工程师,上海·徐汇区·漕河泾,杰恩,15-30K,本科,建筑设计,1-3年,https://www.zhipin.com/gongsi/cd6621b1ef42e4d703Z53N20Eg~~.html
python工程师,上海·闵行区·虹桥,中软华腾,18-30K·13薪,大专,计算机服务,3-5年,https://www.zhipin.com/gongsi/14bb8bf8df7e98761Xx43d2_GQ~~.html
python工程师,上海·杨浦区·东外滩,达达集团,20-40K·14薪,本科,O2O,经验不限,https://www.zhipin.com/gongsi/e1201ba8dcb6c0651nR42du-Ew~~.html
Python开发工程师,上海·浦东新区·陆家嘴,宜信公司,15-30K·13薪,本科,互联网金融,经验不限,https://www.zhipin.com/gongsi/ca0edf142395fbe51nR73Ng~.html
Python 后台开发,上海·虹口区·四川北路,维信金科,12-22K,本科,互联网金融,1-3年,https://www.zhipin.com/gongsi/d9bad66c58be48b61XB729u1.html
Python架构师,上海·浦东新区·塘桥,上海百胜软件,20-35K·14薪,本科,计算机软件,3-5年,https://www.zhipin.com/gongsi/c7b1e8e0342d4b0f1XV40t61.html
Python开发工程师/专家,上海·浦东新区·陆家嘴,蚂蚁金服,25-50K·13薪,本科,互联网金融,3-5年,https://www.zhipin.com/gongsi/6bbb9e0ebe9d06461nd_09--.html
研发效能工程师,上海·杨浦区·五角场,声网Agora,20-40K·15薪,本科,移动互联网,经验不限,https://www.zhipin.com/gongsi/51fbe1425413f88f1nR83d-6EQ~~.html
ODOO开发工程师,上海·浦东新区·张江,西域集团,15-25K,本科,电子商务,3-5年,https://www.zhipin.com/gongsi/430b362f35a1fbc71nVy3d25.html
python爬虫开发,上海·浦东新区·联洋,上海海钥,12-24K,不限,计算机软件,1-3年学历,https://www.zhipin.com/gongsi/486cf74b7cc025873nx72dS5.html
Python开发工程师（智能交易方向）,上海·浦东新区·张江,金仕达,15-30K·13薪,本科,计算机软件,经验不限,https://www.zhipin.com/gongsi/0b3b89127123b4f41HV72ti-.html
Python高级开发工程师,上海·浦东新区·陆家嘴,建信金科,25-50K,本科,银行,5-10年,https://www.zhipin.com/gongsi/6e19637143bd80ad1HV_3N26GQ~~.html
Python工程师,上海·静安区·火车站,达邦管理有限公司,15-30K,本科,广告/公关/会展,3-5年,https://www.zhipin.com/gongsi/aa060b6e9add28ba1nx70ty_ElY~.html
Python,上海·浦东新区·陆家嘴,蚂蚁集团,30-50K·16薪,本科,互联网,3-5年,https://www.zhipin.com/gongsi/4685d74590e9bc881nV43N-4EVo~.html
生物信息研究员,上海·徐汇区·龙华,臻和,15-25K,硕士,医疗/护理/卫生,1-3年,https://www.zhipin.com/gongsi/e75a8b4ee4bd22493ndy2dy9GQ~~.html
Python,上海·长宁区·淞虹路,携程旅行网,15-30K·15薪,本科,互联网,1-3年,https://www.zhipin.com/gongsi/69a877c4ff0646b00XJ80w~~.html
工程效率研发工程师/专家 (MJ000631),上海·浦东新区·张江,七牛云,25-40K,本科,互联网,5-10年,https://www.zhipin.com/gongsi/b3b788a71aceed831XZy3Nk~.html
PYTHON 开发工程师,上海,云汉芯城,20-30K,本科,互联网,3-5年,https://www.zhipin.com/gongsi/61843baf19b9252f1nR639q8.html
python开发工程师,上海·黄浦区·城隍庙,华钦软件CLPS,14-18K·13薪,大专,计算机软件,3-5年,https://www.zhipin.com/gongsi/61b6dea7301a28fa1Xx53dq5.html
前后端开发(架构领先/敏捷管理/行业龙头),上海·黄浦区·人民广场,RCC瑞达恒,12-18K·14薪,本科,互联网,1-3年,https://www.zhipin.com/gongsi/f6192ad7e677a9501XVz3t--.html
Python开发工程师,上海·浦东新区·陆家嘴,申朴信息,13-20K,大专,互联网金融,5-10年,https://www.zhipin.com/gongsi/5f9f374857cd16221XV729W4.html
python高级开发,上海,达观数据,18-35K,本科,计算机软件,3-5年,https://www.zhipin.com/gongsi/13398c770ed6d8b61nB60tw~.html
Python工程师,上海·长宁区·中山公园,乐言科技,15-30K·15薪,本科,互联网,1-3年,https://www.zhipin.com/gongsi/bfb355f61045ec851ndy39S_GFs~.html
高级Python后端开发工程师(倍市得),上海·徐汇区·田林,众言科技,18-25K,本科,互联网,3-5年,https://www.zhipin.com/gongsi/90b0a4e09f41aaa90XZ839i_.html
Python开发工程师,上海·浦东新区·张江,喜马拉雅,20-25K·15薪,本科,移动互联网,1-3年,https://www.zhipin.com/gongsi/52d69afb8360dfd60nVy39y9Fw~~.html
Python,上海·浦东新区·金桥,软通动力,13-26K,本科,计算机软件,3-5年,https://www.zhipin.com/gongsi/c8311034740eee121nVz09S7E1U~.html
软件开发工程师,上海·浦东新区·金桥,华为技术有限公司,19-35K·13薪,硕士,计算机软件,经验不限,https://www.zhipin.com/gongsi/21124e51a5ea83a80nR80ti8.html
Python开发工程师,上海·浦东新区·临港,特斯拉 Tesla,25-50K,本科,汽车生产,5-10年,https://www.zhipin.com/gongsi/a3fff2b435110f101Xx40tm7.html
高级安全研发工程师,上海·徐汇区·漕河泾,白山云科技,30-50K,本科,互联网,1-3年,https://www.zhipin.com/gongsi/61705d9449c8166b33N839w~.html
高级数据采集工程师,上海·浦东新区·塘桥,励销云,20-30K·13薪,本科,互联网,5-10年,https://www.zhipin.com/gongsi/0ea8995fe68f2fa71nB62g~~.html
Python开发工程师,上海·浦东新区·张江,博彦科技,18-23K,本科,计算机软件,3-5年,https://www.zhipin.com/gongsi/e715aa1be4283fc21nd62tq5.html
游戏开发团队资深软件开发工程师（工具向）,上海·浦东新区·张江,今日头条,25-50K·16薪,不限,移动互联网,5-10年学历,https://www.zhipin.com/gongsi/a67b361452e384e71XV82N4~.html
Python开发工程师（22届校招）,上海,东方财富集团,16-25K·16薪,本科,互联网,在校/应届,https://www.zhipin.com/gongsi/15549d694fb8dd2a1nV_09m4.html
Python开发,上海·浦东新区·张江,IBM,23-35K·13薪,本科,互联网,5-10年,https://www.zhipin.com/gongsi/80da39592825c7371n192dm0F1M~.html
Python爬虫开发,上海·闵行区·浦江,泛微网络,24-40K·15薪,本科,计算机软件,3-5年,https://www.zhipin.com/gongsi/8d038826246b5fb31nV83d4~.html
python开发,上海·浦东新区·金桥,软通动力信息技术集团,12-24K,本科,计算机软件,1-3年,https://www.zhipin.com/gongsi/564018fcde2fcd9f1nZ83N61GFU~.html
软件工程师（python）,上海·嘉定区·南翔,梅卡曼德机器人,15-25K,本科,计算机软件,3-5年,https://www.zhipin.com/gongsi/4187bf5fb5aa26cf1H1409u5.html
研发工程师-高可用监控方向-短视频,上海·闵行区·虹梅路,北京字节跳动,25-50K·15薪,本科,移动互联网,经验不限,https://www.zhipin.com/gongsi/7d01ce6cfe2022030HJ409y-.html
后端开发工程师-国际化ToB推荐平台,上海·闵行区·虹梅路,字节跳动,20-40K·15薪,本科,移动互联网,3-5年,https://www.zhipin.com/gongsi/1311d10fe26c4ee51Hd73ti0FA~~.html
Pyqt开发工程师,上海·闵行区·莘庄,艾为电子,15-30K·15薪,本科,电子/半导体/集成电路,5-10年,https://www.zhipin.com/gongsi/49e486fcb04579311Xd43N-7FQ~~.html
21届和22届留学生校招,上海·浦东新区·金桥,上海华为技术有限公司,18-25K,本科,通信/网络设备,在校/应届,https://www.zhipin.com/gongsi/5c2aa068dd6a32a20nx83dW1.html
工具开发工程师,上海·浦东新区·金桥,华为,18-28K·14薪,本科,计算机软件,3-5年,https://www.zhipin.com/gongsi/02cd05cce753437e33V50w~~.html
python开发工程师,上海·浦东新区·金桥,中软国际,12-22K,本科,计算机软件,经验不限,https://www.zhipin.com/gongsi/2d208a8834e4a58203d43Q~~.html
RPA研发工程师,上海,兴业数金,20-35K·14薪,本科,互联网,经验不限,https://www.zhipin.com/gongsi/39fe4e3e9baf4ae11H173tk~.html
Python开发,上海·虹口区·北外滩,法本,14-23K,本科,计算机软件,3-5年,https://www.zhipin.com/gongsi/95b4b47ef9141c671nd52ty_.html
python后端开发工程师,上海·徐汇区·漕河泾,garena,18-35K·15薪,本科,互联网,3-5年,https://www.zhipin.com/gongsi/8fd83d0e0310a4a11HRy2dW4.html
SRE工程师,上海·浦东新区·陆家嘴,同程数科,15-30K·14薪,本科,互联网金融,3-5年,https://www.zhipin.com/gongsi/fe10d508def33d2f1nV82di1Els~.html
Python工程师,上海,合合信息,15-25K·13薪,本科,互联网,3-5年,https://www.zhipin.com/gongsi/e03c7ed68d03ead61XR92tS6.html
AI教育-高职课程开发工程师,上海·徐汇区·漕河泾,SenseTime,20-40K·15薪,本科,计算机软件,3-5年,https://www.zhipin.com/gongsi/479e410ee2aff0d21nx8294~.html
python工具开发工程师,上海·闵行区·莘庄,中科创达软件,18-30K,本科,计算机软件,3-5年,https://www.zhipin.com/gongsi/05d8611f931b61a41Xd639m_.html
Python高级开发工程师,上海,小i机器人,15-30K,本科,计算机软件,3-5年,https://www.zhipin.com/gongsi/fe3ee15d42b167e61nZ_29Q~.html
python,上海·浦东新区·塘桥,花旗金融,20-35K,本科,计算机软件,经验不限,https://www.zhipin.com/gongsi/1883668fd93d00281X143dq1.html
python开发工程师,上海·浦东新区·南码头,证硕科技,25-35K·13薪,本科,证券/期货,1-3年,https://www.zhipin.com/gongsi/5fb2e0178b140b611nN52dy4Fls~.html
上海腾讯云网络后台开发工程师,上海·徐汇区·漕河泾,腾讯,20-40K·15薪,本科,互联网,3-5年,https://www.zhipin.com/gongsi/2e64a887a110ea9f1nRz.html
Python开发工程师 (MJ000127),上海,通联数据,15-30K·14薪,本科,互联网,经验不限,https://www.zhipin.com/gongsi/0f1f9bbdcda46bad1XN-0g~~.html
高级python开发工程师,上海·青浦区·徐泾,圆通速递,20-30K,本科,计算机软件,5-10年,https://www.zhipin.com/gongsi/f6fb2a6f7547abf13nBy3dS5Fw~~.html
Python开发工程师,上海·黄浦区·新天地,埃森哲,20-30K·13薪,本科,企业服务,3-5年,https://www.zhipin.com/gongsi/f6230d092cab6d121XJ63tq1.html
高级爬虫工程师,上海·长宁区·北新泾,携程集团,18-30K·15薪,本科,互联网,1-3年,https://www.zhipin.com/gongsi/ef2ede3e92bf51f91nV72966ElM~.html
RPA开发工程师,上海·浦东新区·张江,大参林,25-50K·14薪,本科,医疗健康,3-5年,https://www.zhipin.com/gongsi/006d8889d97b79361HZy3Ni7.html
Python,上海·浦东新区·张江,ATA,15-25K·13薪,本科,在线教育,1-3年,https://www.zhipin.com/gongsi/829b23f3b78ad0401XN9092_.html
工程效能工程师,上海·杨浦区·东外滩,达达集团,20-40K·14薪,本科,O2O,1-3年,https://www.zhipin.com/gongsi/e1201ba8dcb6c0651nR42du-Ew~~.html
Python&golang开发工程师,上海·浦东新区·张江,信也科技,15-25K·15薪,本科,互联网,1-3年,https://www.zhipin.com/gongsi/d980ad0ea954a0421HV43t4~.html
Python开发工程师,上海·浦东新区·金桥,擎朗智能,15-22K,本科,智能硬件,3-5年,https://www.zhipin.com/gongsi/256dd9a902bb05381Hx-2dq6EA~~.html
音视频实验室工程师,上海·杨浦区·五角场,声网Agora,15-30K·15薪,本科,移动互联网,3-5年,https://www.zhipin.com/gongsi/51fbe1425413f88f1nR83d-6EQ~~.html
后端开发工程师,上海·杨浦区·五角场,bilibili,18-35K,本科,互联网,1-3年,https://www.zhipin.com/gongsi/ae1ff0467cbd29ea1nZ-3ts~.html
Python高级工程师,上海·长宁区·中山公园,乐言科技,25-40K·14薪,本科,互联网,3-5年,https://www.zhipin.com/gongsi/bfb355f61045ec851ndy39S_GFs~.html
Python后端开发工程师（B端产品）,上海·徐汇区·田林,众言科技,17-28K,本科,互联网,3-5年,https://www.zhipin.com/gongsi/90b0a4e09f41aaa90XZ839i_.html
Python开发/测试,上海·浦东新区·金桥,软通动力,15-30K,本科,计算机软件,1-3年,https://www.zhipin.com/gongsi/c8311034740eee121nVz09S7E1U~.html
Software Engineer (python、react),上海·浦东新区·临港,特斯拉 Tesla,20-40K,本科,汽车生产,3-5年,https://www.zhipin.com/gongsi/a3fff2b435110f101Xx40tm7.html
Python开发工程师（双休+试用期不打折）,上海·长宁区·北新泾,博彦科技,25-35K·13薪,本科,计算机软件,5-10年,https://www.zhipin.com/gongsi/e715aa1be4283fc21nd62tq5.html
python爬虫工程师,上海·闵行区·浦江,泛微网络,20-40K·15薪,本科,计算机软件,3-5年,https://www.zhipin.com/gongsi/8d038826246b5fb31nV83d4~.html
Python开发,上海·浦东新区·金桥,软通动力信息技术集团,12-24K,本科,计算机软件,经验不限,https://www.zhipin.com/gongsi/564018fcde2fcd9f1nZ83N61GFU~.html
软件工程师（python）,上海·嘉定区·南翔,梅卡曼德机器人,14-28K,本科,计算机软件,3-5年,https://www.zhipin.com/gongsi/4187bf5fb5aa26cf1H1409u5.html
广告投放研发工程师,上海·闵行区·虹桥,北京字节跳动,30-50K·15薪,本科,移动互联网,3-5年,https://www.zhipin.com/gongsi/7d01ce6cfe2022030HJ409y-.html
工程效率研发工程师,上海·浦东新区·金桥,华为,18-35K·15薪,本科,计算机软件,经验不限,https://www.zhipin.com/gongsi/02cd05cce753437e33V50w~~.html
python开发工程师,上海·浦东新区·金桥,中软国际,15-24K,本科,计算机软件,1-3年,https://www.zhipin.com/gongsi/2d208a8834e4a58203d43Q~~.html
python开发工程师（线上面试+福利好）,上海·浦东新区·陆家嘴,法本,11-21K·13薪,大专,计算机软件,3-5年,https://www.zhipin.com/gongsi/95b4b47ef9141c671nd52ty_.html
后台开发工程师,上海·杨浦区·五角场,今日头条,20-40K,本科,移动互联网,3-5年,https://www.zhipin.com/gongsi/a67b361452e384e71XV82N4~.html
AI教育-高职课程开发工程师,上海·徐汇区·漕河泾,SenseTime,15-30K·15薪,本科,计算机软件,1-3年,https://www.zhipin.com/gongsi/479e410ee2aff0d21nx8294~.html
python工具链开发(JEDVV),上海·闵行区·莘庄,中科创达软件,15-30K,本科,计算机软件,3-5年,https://www.zhipin.com/gongsi/05d8611f931b61a41Xd639m_.html
高级python,上海·浦东新区·张江,达观数据,20-40K,本科,计算机软件,5-10年,https://www.zhipin.com/gongsi/13398c770ed6d8b61nB60tw~.html
通用软件工程师,上海·浦东新区·金桥,华为技术有限公司,30-50K,本科,计算机软件,1年以内,https://www.zhipin.com/gongsi/21124e51a5ea83a80nR80ti8.html
高级python工程师,上海·嘉定区·江桥,小i机器人,15-25K·14薪,本科,计算机软件,3-5年,https://www.zhipin.com/gongsi/fe3ee15d42b167e61nZ_29Q~.html
python开发工程师,上海·浦东新区·张江,大参林,15-30K,本科,医疗健康,3-5年,https://www.zhipin.com/gongsi/006d8889d97b79361HZy3Ni7.html
爬虫大数据开发,上海·徐汇区·漕河泾,腾讯,30-50K·16薪,本科,互联网,3-5年,https://www.zhipin.com/gongsi/2e64a887a110ea9f1nRz.html
Python开发工程师,上海·青浦区·徐泾,圆通速递,15-30K,本科,计算机软件,3-5年,https://www.zhipin.com/gongsi/f6fb2a6f7547abf13nBy3dS5Fw~~.html
【校招】软件工程师,上海·浦东新区·金桥,上海华为技术有限公司,15-30K·15薪,本科,通信/网络设备,在校/应届,https://www.zhipin.com/gongsi/5c2aa068dd6a32a20nx83dW1.html
服务端开发工程师-Python,上海,东方财富集团,16-26K·16薪,本科,互联网,1-3年,https://www.zhipin.com/gongsi/15549d694fb8dd2a1nV_09m4.html
RPA研发工程师,上海·浦东新区·张江,兴业数金,20-35K,本科,互联网,经验不限,https://www.zhipin.com/gongsi/39fe4e3e9baf4ae11H173tk~.html
Technology-Python开发工程师,上海,埃森哲,20-30K·13薪,本科,企业服务,3-5年,https://www.zhipin.com/gongsi/f6230d092cab6d121XJ63tq1.html
Python开发工程师,上海·浦东新区·塘桥,励销云,25-40K·13薪,本科,互联网,3-5年,https://www.zhipin.com/gongsi/0ea8995fe68f2fa71nB62g~~.html
高级爬虫工程师,上海·浦东新区·陆家嘴,同程数科,25-40K·14薪,本科,互联网金融,5-10年,https://www.zhipin.com/gongsi/fe10d508def33d2f1nV82di1Els~.html
python开发工程师,上海,乐言科技,20-30K·15薪,大专,互联网,3-5年,https://www.zhipin.com/gongsi/bfb355f61045ec851ndy39S_GFs~.html
Python架构师,上海·徐汇区·田林,众言科技,30-50K·15薪,本科,互联网,5-10年,https://www.zhipin.com/gongsi/90b0a4e09f41aaa90XZ839i_.html
python工程师,上海·浦东新区·张江,博彦科技,20-27K,本科,计算机软件,3-5年,https://www.zhipin.com/gongsi/e715aa1be4283fc21nd62tq5.html
Python开发工程师,上海·浦东新区·金桥,软通动力信息技术集团,15-30K,本科,计算机软件,1-3年,https://www.zhipin.com/gongsi/564018fcde2fcd9f1nZ83N61GFU~.html
研发工程师-短视频-安全方向,上海·闵行区·虹梅路,北京字节跳动,30-60K·15薪,本科,移动互联网,经验不限,https://www.zhipin.com/gongsi/7d01ce6cfe2022030HJ409y-.html
工具软件开发工程师,上海·浦东新区·金桥,华为,15-30K,本科,计算机软件,在校/应届,https://www.zhipin.com/gongsi/02cd05cce753437e33V50w~~.html
python开发,上海·浦东新区·金桥,中软国际,12-24K,本科,计算机软件,1-3年,https://www.zhipin.com/gongsi/2d208a8834e4a58203d43Q~~.html
Python开发工程师（团建下午茶，氛围好）,上海·徐汇区·田林,法本,12-21K,本科,计算机软件,3-5年,https://www.zhipin.com/gongsi/95b4b47ef9141c671nd52ty_.html
AI教育-Python开发工程师,上海·徐汇区·漕河泾,SenseTime,20-30K·15薪,本科,计算机软件,3-5年,https://www.zhipin.com/gongsi/479e410ee2aff0d21nx8294~.html
Python开发工程师,上海·浦东新区·张江,达观数据,15-25K,本科,计算机软件,3-5年,https://www.zhipin.com/gongsi/13398c770ed6d8b61nB60tw~.html
Python高级爬虫工程师,上海·闵行区·浦江,泛微网络,24-40K·15薪,本科,计算机软件,3-5年,https://www.zhipin.com/gongsi/8d038826246b5fb31nV83d4~.html
软件开发工程师,上海·浦东新区·金桥,华为技术有限公司,15-30K·14薪,本科,计算机软件,1-3年,https://www.zhipin.com/gongsi/21124e51a5ea83a80nR80ti8.html
云开发体验改进工程师,上海·徐汇区·漕河泾,腾讯,20-40K,本科,互联网,3-5年,https://www.zhipin.com/gongsi/2e64a887a110ea9f1nRz.html
运维开发工程师（证券）,上海·徐汇区·徐家汇,东方财富集团,15-25K·16薪,本科,互联网,3-5年,https://www.zhipin.com/gongsi/15549d694fb8dd2a1nV_09m4.html
RPA研发工程师,上海·浦东新区·张江,兴业数金,16-22K,本科,互联网,在校/应届,https://www.zhipin.com/gongsi/39fe4e3e9baf4ae11H173tk~.html
Python开发,上海·浦东新区·金桥,软通动力,15-25K,本科,计算机软件,1-3年,https://www.zhipin.com/gongsi/c8311034740eee121nVz09S7E1U~.html
Python开发工程师,上海·长宁区·中山公园,乐言科技,20-35K·15薪,本科,互联网,3-5年,https://www.zhipin.com/gongsi/bfb355f61045ec851ndy39S_GFs~.html
Python研发工程师,上海·徐汇区·田林,众言科技,15-25K,本科,互联网,3-5年,https://www.zhipin.com/gongsi/90b0a4e09f41aaa90XZ839i_.html
python开发测试     周末双休,上海·浦东新区·金桥,软通动力信息技术集团,12-24K,本科,计算机软件,3-5年,https://www.zhipin.com/gongsi/564018fcde2fcd9f1nZ83N61GFU~.html
资深服务端研发工程师 - 短视频,上海·闵行区·虹梅路,北京字节跳动,40-70K,本科,移动互联网,5-10年,https://www.zhipin.com/gongsi/7d01ce6cfe2022030HJ409y-.html
Python,上海·浦东新区·金桥,中软国际,12-24K,本科,计算机软件,经验不限,https://www.zhipin.com/gongsi/2d208a8834e4a58203d43Q~~.html
Python,上海·青浦区·机场,法本,18-25K,大专,计算机软件,1-3年,https://www.zhipin.com/gongsi/95b4b47ef9141c671nd52ty_.html
Python开发工程师,上海·浦东新区·金桥,华为,15-30K·13薪,本科,计算机软件,经验不限,https://www.zhipin.com/gongsi/02cd05cce753437e33V50w~~.html
python开发工程师,上海·徐汇区·漕河泾,SenseTime,25-50K·15薪,本科,计算机软件,3-5年,https://www.zhipin.com/gongsi/479e410ee2aff0d21nx8294~.html
python工程师,上海·浦东新区·塘桥,博彦科技,15-30K,本科,计算机软件,3-5年,https://www.zhipin.com/gongsi/e715aa1be4283fc21nd62tq5.html
架构师,上海,达观数据,25-50K·14薪,本科,计算机软件,10年以上,https://www.zhipin.com/gongsi/13398c770ed6d8b61nB60tw~.html
Python开发工程师,上海·浦东新区·金桥,华为技术有限公司,20-40K,本科,计算机软件,1-3年,https://www.zhipin.com/gongsi/21124e51a5ea83a80nR80ti8.html
python开发工程师,上海,乐言科技,25-40K·15薪,大专,互联网,5-10年,https://www.zhipin.com/gongsi/bfb355f61045ec851ndy39S_GFs~.html
高级python开发（倍市得）,上海·徐汇区·田林,众言科技,20-25K,本科,互联网,5-10年,https://www.zhipin.com/gongsi/90b0a4e09f41aaa90XZ839i_.html
高级后端开发工程师,上海·闵行区·虹桥,北京字节跳动,25-50K·15薪,本科,移动互联网,3-5年,https://www.zhipin.com/gongsi/7d01ce6cfe2022030HJ409y-.html
Python,上海·浦东新区·金桥,中软国际,13-26K,本科,计算机软件,1-3年,https://www.zhipin.com/gongsi/2d208a8834e4a58203d43Q~~.html
Python开发,上海·浦东新区·金桥,软通动力信息技术集团,14-28K,本科,计算机软件,经验不限,https://www.zhipin.com/gongsi/564018fcde2fcd9f1nZ83N61GFU~.html
软件Python岗位,上海·浦东新区·金桥,华为,25-30K·18薪,硕士,计算机软件,1年以内,https://www.zhipin.com/gongsi/02cd05cce753437e33V50w~~.html
高级后端开发,上海·浦东新区·张江,达观数据,18-35K·14薪,本科,计算机软件,3-5年,https://www.zhipin.com/gongsi/13398c770ed6d8b61nB60tw~.html
AI教育-高职课程开发工程师,上海,SenseTime,20-40K·15薪,本科,计算机软件,3-5年,https://www.zhipin.com/gongsi/479e410ee2aff0d21nx8294~.html
高级Python开发,上海·徐汇区·田林,众言科技,15-26K·13薪,本科,互联网,3-5年,https://www.zhipin.com/gongsi/90b0a4e09f41aaa90XZ839i_.html
Python后端开发工程师,上海·长宁区·中山公园,乐言科技,15-30K·15薪,本科,互联网,3-5年,https://www.zhipin.com/gongsi/bfb355f61045ec851ndy39S_GFs~.html
服务端开发工程师-番茄小说,上海·闵行区·虹桥,北京字节跳动,30-50K·15薪,本科,移动互联网,经验不限,https://www.zhipin.com/gongsi/7d01ce6cfe2022030HJ409y-.html
Python工程师,上海·浦东新区·金桥,中软国际,15-30K·13薪,本科,计算机软件,1-3年,https://www.zhipin.com/gongsi/2d208a8834e4a58203d43Q~~.html
云开发工程师,上海·浦东新区·张江,软通动力信息技术集团,15-30K,本科,计算机软件,3-5年,https://www.zhipin.com/gongsi/564018fcde2fcd9f1nZ83N61GFU~.html
python,上海·浦东新区·金桥,华为,20-40K·14薪,本科,计算机软件,经验不限,https://www.zhipin.com/gongsi/02cd05cce753437e33V50w~~.html
Python后端开发（To  B）,上海·徐汇区·田林,众言科技,18-28K,本科,互联网,3-5年,https://www.zhipin.com/gongsi/90b0a4e09f41aaa90XZ839i_.html
资深软件开发工程师-工具向,上海·浦东新区·张江,北京字节跳动,45-75K·15薪,本科,移动互联网,5-10年,https://www.zhipin.com/gongsi/7d01ce6cfe2022030HJ409y-.html
Python开发,上海·浦东新区·金桥,软通动力信息技术集团,11-22K,本科,计算机软件,1-3年,https://www.zhipin.com/gongsi/564018fcde2fcd9f1nZ83N61GFU~.html
工具开发,上海·浦东新区·金桥,华为,15-30K·14薪,不限,计算机软件,经验不限学历,https://www.zhipin.com/gongsi/02cd05cce753437e33V50w~~.html
Python开发工程师,上海·浦东新区·金桥,中软国际,11-20K,本科,计算机软件,1-3年,https://www.zhipin.com/gongsi/2d208a8834e4a58203d43Q~~.html
高级Python开发工程师,上海,众言科技,20-30K,本科,互联网,5-10年,https://www.zhipin.com/gongsi/90b0a4e09f41aaa90XZ839i_.html
Python开发工程师,上海·浦东新区·金桥,软通动力信息技术集团,14-28K,本科,计算机软件,1-3年,https://www.zhipin.com/gongsi/564018fcde2fcd9f1nZ83N61GFU~.html
集成构建,上海·浦东新区·金桥,华为,15-30K·14薪,不限,计算机软件,经验不限学历,https://www.zhipin.com/gongsi/02cd05cce753437e33V50w~~.html
资深影视TD-无双,上海·浦东新区·张江,北京字节跳动,30-50K·15薪,本科,移动互联网,3-5年,https://www.zhipin.com/gongsi/7d01ce6cfe2022030HJ409y-.html
Python工程师,上海·浦东新区·金桥,华为,20-40K,本科,计算机软件,经验不限,https://www.zhipin.com/gongsi/02cd05cce753437e33V50w~~.html
python后端,上海·徐汇区·田林,众言科技,12-24K,本科,互联网,1年以内,https://www.zhipin.com/gongsi/90b0a4e09f41aaa90XZ839i_.html
python（应届生也可培养急招）双休,上海·浦东新区·金桥,软通动力信息技术集团,11-22K,本科,计算机软件,经验不限,https://www.zhipin.com/gongsi/564018fcde2fcd9f1nZ83N61GFU~.html
高级软件开发工程师,上海·浦东新区·金桥,华为,30-50K·14薪,硕士,计算机软件,3-5年,https://www.zhipin.com/gongsi/02cd05cce753437e33V50w~~.html
python开发,上海·浦东新区·金桥,软通动力信息技术集团,12-24K,本科,计算机软件,1-3年,https://www.zhipin.com/gongsi/564018fcde2fcd9f1nZ83N61GFU~.html
Python开发,上海·徐汇区·田林,众言科技,20-30K,本科,互联网,3-5年,https://www.zhipin.com/gongsi/90b0a4e09f41aaa90XZ839i_.html
WEB后端开发工程师,上海·浦东新区·金桥,华为,25-50K,本科,计算机软件,经验不限,https://www.zhipin.com/gongsi/02cd05cce753437e33V50w~~.html
Python架构师,上海,众言科技,20-28K·13薪,本科,互联网,3-5年,https://www.zhipin.com/gongsi/90b0a4e09f41aaa90XZ839i_.html
AI工程师,上海·浦东新区·金桥,华为,18-25K·14薪,本科,计算机软件,1-3年,https://www.zhipin.com/gongsi/02cd05cce753437e33V50w~~.html
高级Python工程师,上海·徐汇区·田林,众言科技,22-30K·13薪,本科,互联网,5-10年,https://www.zhipin.com/gongsi/90b0a4e09f41aaa90XZ839i_.html
软件工程师,上海·浦东新区·金桥,华为,15-30K·14薪,本科,计算机软件,经验不限,https://www.zhipin.com/gongsi/02cd05cce753437e33V50w~~.html
软件工程师C/C++/python,上海·浦东新区·金桥,华为,18-35K·14薪,本科,计算机软件,经验不限,https://www.zhipin.com/gongsi/02cd05cce753437e33V50w~~.html
软件开发工程师（Python）,上海·浦东新区·金桥,华为,20-40K·13薪,本科,计算机软件,1-3年,https://www.zhipin.com/gongsi/02cd05cce753437e33V50w~~.html
C++/Python软件开发/测试工程师,上海·浦东新区·金桥,华为,20-40K,本科,计算机软件,3-5年,https://www.zhipin.com/gongsi/02cd05cce753437e33V50w~~.html
软件开发工程师,上海·浦东新区·金桥,华为,25-50K·13薪,本科,计算机软件,1-3年,https://www.zhipin.com/gongsi/02cd05cce753437e33V50w~~.html
Python,上海·浦东新区·金桥,华为,15-30K·14薪,本科,计算机软件,1-3年,https://www.zhipin.com/gongsi/02cd05cce753437e33V50w~~.html
后端研发工程师-广州-python,广州·天河区·猎德,今日头条,20-40K,本科,移动互联网,经验不限,https://www.zhipin.com/gongsi/a67b361452e384e71XV82N4~.html
